Model,Accuracy
Decision Tree,48.39
Decision Tree,48.39
Decision Tree,48.39
Naive Bayes,43.72
Support Vector Classifier (SVC),55.16
Decision Tree,52.0
kNN Classifier,29.29336468129572
Naive Bayes,48.0
Decision Tree,52.0
kNN Classifier,29.29336468129572
Naive Bayes,48.0
Linear SVM,51.43
Support Vector Classifier (SVC),60.0
Decision Tree,52.0,,,
kNN Classifier,29.29336468129572,,,
Naive Bayes,48.0,,,
Linear SVM,51.43,,,
Decision Tree,52.0,,,
Support Vector Classifier (SVC),60.0,60.46,60.0,59.8
Naive Bayes,48.0,,,
Decision Tree,52.0,,,
Decision Tree,52.0,,,
kNN Classifier,29.29336468129572,51.23,51.43,51.22
kNN Classifier,29.29336468129572,51.23,51.43,51.22
kNN Classifier,29.29336468129572,51.23,51.43,51.22
Naive Bayes,48.0,40.02,48.0,39.2
Support Vector Classifier (SVC),60.57,60.48,60.57,60.04
Support Vector Classifier (SVC),61.71,62.69,61.71,61.78
Support Vector Classifier (SVC),61.71,61.94,61.71,61.26
Support Vector Classifier (SVC),60.0,60.46,60.0,59.8
Support Vector Classifier (SVC),60.0,60.46,60.0,59.8
Support Vector Classifier (SVC),60.0,60.46,60.0,59.8
Support Vector Classifier (SVC),60.0,60.46,60.0,59.8
Linear SVM,51.43,49.2,51.43,49.12
Linear SVM,51.43,49.2,51.43,49.12
Linear SVM,53.71,51.58,53.71,51.47
Linear SVM,52.57,50.6,52.57,50.28
Linear SVM,53.71,51.58,53.71,51.47
Decision Tree,52.0,54.0,52.0,52.52
kNN Classifier,29.29336468129572,51.23,51.43,51.22
Naive Bayes,48.0,40.02,48.0,39.2
Decision Tree,52.0,54.0,52.0,52.52
Naive Bayes,48.0,40.02,48.0,39.2
Decision Tree,69.96,52.0,64.77
Decision Tree,69.96,52.0,64.77
Decision Tree,52.0,54.0,52.0,52.52
kNN Classifier,29.29336468129572,51.23,51.43,51.22
Decision Tree,69.96,52.0,64.77,48.08
Naive Bayes,47.21,48.0,51.14,46.21
Decision Tree,52.0,54.0,52.0,52.52
Naive Bayes,48.0,40.02,48.0,39.2
Support Vector Classifier (SVC),52.0,50.56,52.0,50.76
kNN Classifier,29.29336468129572,51.23,51.43,51.22
Linear SVM,52.57,51.7,52.57,49.95
Support Vector Classifier (SVC),52.0,50.56,52.0,50.76
Decision Tree,52.0,54.0,52.0,52.52
kNN Classifier,29.29336468129572,51.23,51.43,51.22